,맥주,년,평점
215,Budweiser, 2018,2.0265625
216,Budweiser, 2019,2.0784615384615384
217,Budweiser, 2020,2.079487179487179
218,Budweiser, 2021,1.9038461538461537
219,Budweiser, 2022,1.8466666666666667
220,Carlsberg Pilsner, 2000,3.0
221,Carlsberg Pilsner, 2001,2.785185185185185
222,Carlsberg Pilsner, 2002,2.454878048780488
223,Carlsberg Pilsner, 2003,2.3898734177215193
224,Carlsberg Pilsner, 2004,2.155421686746988
225,Carlsberg Pilsner, 2005,2.269090909090909
226,Carlsberg Pilsner, 2006,2.1756521739130434
227,Carlsberg Pilsner, 2007,2.264516129032258
228,Carlsberg Pilsner, 2008,2.2315436241610738
229,Carlsberg Pilsner, 2009,2.1096491228070176
230,Carlsberg Pilsner, 2010,2.2126436781609193
231,Carlsberg Pilsner, 2011,2.222340425531915
232,Carlsberg Pilsner, 2012,2.24375
233,Carlsberg Pilsner, 2013,2.265079365079365
234,Carlsberg Pilsner, 2014,2.2120879120879122
235,Carlsberg Pilsner, 2015,2.2961038961038964
236,Carlsberg Pilsner, 2016,2.3375
237,Carlsberg Pilsner, 2017,2.2533333333333334
238,Carlsberg Pilsner, 2018,2.37
239,Carlsberg Pilsner, 2019,2.2984126984126987
240,Carlsberg Pilsner, 2020,2.348148148148148
241,Carlsberg Pilsner, 2021,2.466666666666667
242,Carlsberg Pilsner, 2022,2.2333333333333334
243,Cass Fresh, 2002,1.2833333333333334
244,Cass Fresh, 2003,1.525
245,Cass Fresh, 2004,1.5625
246,Cass Fresh, 2005,1.5250000000000001
247,Cass Fresh, 2006,1.7538461538461538
248,Cass Fresh, 2007,1.575
249,Cass Fresh, 2008,1.4333333333333333
250,Cass Fresh, 2009,1.5727272727272728
251,Cass Fresh, 2010,1.3857142857142857
252,Cass Fresh, 2011,1.45
253,Cass Fresh, 2012,1.7999999999999998
254,Cass Fresh, 2013,1.8214285714285714
255,Cass Fresh, 2014,1.7791666666666668
256,Cass Fresh, 2015,1.9000000000000001
257,Cass Fresh, 2016,1.7685714285714285
258,Cass Fresh, 2017,1.8642857142857143
259,Cass Fresh, 2018,1.912
260,Cass Fresh, 2019,1.9600000000000002
261,Cass Fresh, 2020,1.9714285714285715
262,Cass Fresh, 2021,1.86
263,Cass Fresh, 2022,1.8571428571428572
264,Cass Lemon, 2008,1.7
265,Cass Lemon, 2011,1.8285714285714287
266,Cass Lemon, 2012,2.55
267,Cass Lemon, 2013,1.6
268,Cass Lemon, 2014,1.8
269,Cass Lemon, 2015,0.9
270,Cass Light, 2011,1.8499999999999999
271,Cass Light, 2012,1.5
272,Cass Light, 2013,2.1285714285714286
273,Cass Light, 2014,1.325
274,Cass Light, 2015,1.3
275,Cass Light, 2017,1.4
276,Cass Light, 2018,1.64
277,Cass Light, 2019,2.6
278,Cass Light, 2020,0.8
279,Cass Light, 2021,2.0
280,Castlemaine XXXX Gold Lager, 2000,2.2
281,Castlemaine XXXX Gold Lager, 2001,2.15
282,Castlemaine XXXX Gold Lager, 2002,2.4214285714285713
283,Castlemaine XXXX Gold Lager, 2003,1.64375
284,Castlemaine XXXX Gold Lager, 2004,1.6454545454545455
285,Castlemaine XXXX Gold Lager, 2005,1.6846153846153848
286,Castlemaine XXXX Gold Lager, 2006,1.4666666666666668
287,Castlemaine XXXX Gold Lager, 2007,1.65625
288,Castlemaine XXXX Gold Lager, 2008,2.085714285714286
289,Castlemaine XXXX Gold Lager, 2009,1.8111111111111111
290,Castlemaine XXXX Gold Lager, 2010,1.9125
291,Castlemaine XXXX Gold Lager, 2011,1.26
292,Castlemaine XXXX Gold Lager, 2012,1.5125
293,Castlemaine XXXX Gold Lager, 2013,2.390909090909091
294,Castlemaine XXXX Gold Lager, 2014,1.4933333333333332
295,Castlemaine XXXX Gold Lager, 2015,1.9
296,Castlemaine XXXX Gold Lager, 2016,2.7875
297,Castlemaine XXXX Gold Lager, 2017,2.15
298,Castlemaine XXXX Gold Lager, 2018,1.625
299,Castlemaine XXXX Gold Lager, 2019,2.98
300,Castlemaine XXXX Gold Lager, 2020,2.3400000000000003
301,Castlemaine XXXX Gold Lager, 2021,2.75
302,Castlemaine XXXX Gold Lager, 2022,2.5
303,Desperados, 2002,1.8277777777777777
304,Desperados, 2003,1.5499999999999998
305,Desperados, 2004,1.2526315789473685
306,Desperados, 2005,1.3559999999999999
307,Desperados, 2006,1.4255813953488372
308,Desperados, 2007,1.8105263157894738
309,Desperados, 2008,1.8457142857142856
310,Desperados, 2009,1.562857142857143
311,Desperados, 2010,1.9066666666666665
312,Desperados, 2011,1.875
313,Desperados, 2012,1.9482758620689655
314,Desperados, 2013,1.7840579710144926
315,Desperados, 2014,1.8030612244897959
316,Desperados, 2015,1.7494736842105263
317,Desperados, 2016,1.7351851851851852
318,Desperados, 2017,1.8703125
319,Desperados, 2018,2.107894736842105
320,Desperados, 2019,2.092307692307692
321,Desperados, 2020,1.8909090909090909
322,Desperados, 2021,2.46
323,Desperados, 2022,2.6
324,Desperados Lime, 2005,1.35
325,Desperados Lime, 2006,2.1500000000000004
326,Desperados Lime, 2007,1.1
327,Desperados Lime, 2008,1.5999999999999999
328,Desperados Lime, 2009,2.125
329,Desperados Lime, 2010,2.25
330,Desperados Lime, 2012,1.7375
331,Desperados Lime, 2013,1.7000000000000002
332,Desperados Lime, 2014,2.05
333,Desperados Lime, 2015,2.05
334,Desperados Lime, 2016,2.1
335,Desperados Lime, 2017,2.55
336,Desperados Lime, 2018,2.5
337,Desperados Lime, 2019,3.266666666666667
338,Desperados Lime, 2020,2.2875
339,Desperados Lime, 2021,2.5833333333333335
340,Desperados Lime, 2022,2.316666666666667
341,Desperados Mojito, 2017,2.42
342,Desperados Mojito, 2018,1.65
343,Desperados Mojito, 2019,2.205
344,Desperados Mojito, 2020,2.0941176470588236
345,Desperados Mojito, 2021,2.1923076923076925
346,Desperados Mojito, 2022,1.2
347,Desperados Red, 2008,1.2
348,Desperados Red, 2009,1.7111111111111112
349,Desperados Red, 2010,2.1
350,Desperados Red, 2011,1.3666666666666665
351,Desperados Red, 2012,1.7869565217391306
352,Desperados Red, 2013,1.78
353,Desperados Red, 2014,1.4310344827586208
354,Desperados Red, 2015,2.161111111111111
355,Desperados Red, 2016,1.7285714285714284
